"drugname_brand","drugname_generic","claim_count","total_spending","user_count","total_spending_per_user","unit_count","unit_cost_wavg","user_count_non_lowincome","out_of_pocket_avg_non_lowincome","user_count_lowincome","out_of_pocket_avg_lowincome","year"
"ESCITALOPRAM OXALATE","ESCITALOPRAM OXALATE",4043355,397284487.36,811374,489.64409429,150559756.48,2.6591028763,378343,150.52243919,433031,7.4674441091,2012
"FAMOTIDINE","FAMOTIDINE",3739286,45045845.13,839694,53.645548414,215049529.45,0.202946504,395017,24.562514677,444677,3.9056898603,2012
"ALPRAZOLAM","ALPRAZOLAM",1437150,13117407.07,303600,43.206215646,94404358.4,0.138257823,245168,18.112206772,58432,13.205916792,2012
"ALPRAZOLAM ER","ALPRAZOLAM",9855,523225.42,2083,251.18839174,515481,1.0370832677,1752,51.13119863,331,36.975045317,2012
"ALPRAZOLAM INTENSOL","ALPRAZOLAM",51,4446.06,20,222.303,2055,2.1635328467,,,,,2012
"FEXMID","CYCLOBENZAPRINE HCL",332,91260.07,134,681.04529851,22306,4.0912790281,71,108.9315493,63,3.1947619048,2012
"ALPRAZOLAM ODT","ALPRAZOLAM",1225,132907.06,499,266.34681363,82378,1.6147713401,438,28.21,61,21.024590164,2012
"FINASTERIDE","FINASTERIDE",3748171,124219949.8,728822,170.43935254,190045776,0.6536317324,561719,53.357370073,167103,6.6201625943,2012
"FLAGYL","METRONIDAZOLE",319,53046.14,234,226.69290598,9255,5.8378112924,164,68.77847561,70,4.2385714286,2012
"ALPRAZOLAM XR","ALPRAZOLAM",4164,250310.15,1077,232.41425255,245953,1.0675230617,931,39.983050483,146,27.723013699,2012
"FLAGYL ER","METRONIDAZOLE",269,48324.16,244,198.04983607,3800,12.716884211,143,73.541258741,101,6.6981188119,2012
"FLEXERIL","CYCLOBENZAPRINE HCL",127,7764.06,111,69.946486486,5434,1.4379252629,38,35.057631579,73,4.0019178082,2012
"FLOMAX","TAMSULOSIN HCL",39870,9927004.72,9806,1012.3398654,2131417.335,4.6574664459,5662,289.99540975,4144,15.704478764,2012
"FLONASE","FLUTICASONE PROPIONATE",7302,778937.79,3151,247.20336084,157493,4.9458565778,1913,111.10509148,1238,7.1212681745,2012
"FLOVENT DISKUS","FLUTICASONE PROPIONATE",88775,13881250.77,29567,469.48458653,6358506,2.1831299983,15851,138.78961958,13716,10.685178624,2012
"FLOVENT HFA","FLUTICASONE PROPIONATE",994493,206388476.25,297685,693.31164234,13821682.697,14.847010628,142779,159.56434357,154906,13.088419751,2012
"FLUCONAZOLE","FLUCONAZOLE",2109876,16758111.1,1180491,14.195882137,15199843.96,1.6966608145,591751,7.1830709538,588740,1.8863781465,2012
"FLUOXETINE DR","FLUOXETINE HCL",8349,1131694.31,1358,833.35368925,44320,25.534618908,570,257.18342105,788,9.1102411168,2012
"FLUOXETINE HCL","FLUOXETINE HCL",5556138,77401794.63,959496,80.669220747,304815227.24,0.2690980522,512219,31.587034335,447277,7.0786962665,2012
"FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE",7387090,230785028.3,2890083,79.854117788,142639595.06,1.6299386101,1789356,21.096062271,1100727,3.2593739411,2012
"ALTOPREV","LOVASTATIN",4687,2877389.53,1177,2444.6809941,221573,12.986416098,758,327.63042216,419,19.532076372,2012
"FORFIVO XL","BUPROPION HCL",23,3007.87,18,167.10388889,641,4.6924648986,,,,,2012
"FORTAMET","METFORMIN HCL",5997,4576471.41,1683,2719.2343494,450765,10.234869074,995,297.87655276,688,14.804156977,2012
"FOSAMAX","ALENDRONATE SODIUM",7517,1060441.9,2349,451.44397616,74884,21.203829431,1334,210.12868066,1015,11.664906404,2012
"FUROSEMIDE","FUROSEMIDE",24197362,128694661.15,4603625,27.955070439,1287894749,0.1001796568,2552151,17.408810995,2051474,4.9634125073,2012
"GABAPENTIN","GABAPENTIN",16339829,475325456.78,3151334,150.83309379,1780220656.7,0.2640368332,1603916,37.250231016,1547418,6.4952022983,2012
"AMARYL","GLIMEPIRIDE",9361,948628.69,2052,462.29468324,645772.1,1.4583957109,1318,198.51566009,734,17.761961853,2012
"GELNIQUE","OXYBUTYNIN CHLORIDE",43554,9440828.52,13200,715.21428182,1637310,5.7660605017,9150,190.45446448,4050,13.265017284,2012
"AMBIEN","ZOLPIDEM TARTRATE",36956,8908457.47,7940,1121.9719736,1343719,6.6296561871,4449,267.27402562,3491,18.371458035,2012
"AMBIEN CR","ZOLPIDEM TARTRATE",48018,11202253.48,9233,1213.28425,1717490.7,6.5277952623,4924,297.13079001,4309,20.718008819,2012
"GLIMEPIRIDE","GLIMEPIRIDE",4845816,52122917.9,862311,60.445614053,305853858.48,0.1691792485,540276,30.786948282,322035,7.2391841881,2012
"GLIPIZIDE","GLIPIZIDE",4710550,42982175.04,894826,48.034115057,411423123.08,0.1056042097,500574,23.191220199,394252,5.8004568144,2012
"GLIPIZIDE ER","GLIPIZIDE",1957725,42684939.24,388554,109.85587393,121562971.24,0.3450889109,226048,42.738307528,162506,7.1611798949,2012
"GLIPIZIDE XL","GLIPIZIDE",1361248,31238109.06,268978,116.13629762,86207378.37,0.3598517662,158539,36.989823577,110439,7.2317891325,2012
"GLUCOPHAGE","METFORMIN HCL",20387,2842307.74,4139,686.71363614,2269351,1.3129170734,2591,266.12766113,1548,20.99620155,2012
"GLUCOPHAGE XR","METFORMIN HCL",11977,1503025.16,2379,631.78863388,1527111.111,0.9969958366,1655,268.56585498,724,22.318190608,2012
"GLUCOTROL","GLIPIZIDE",2185,214189.15,472,453.79057203,203258,1.027610847,297,210.93632997,175,15.878171429,2012
"GLUCOTROL XL","GLIPIZIDE",12190,897894.53,2570,349.3753035,880047.86,1.0206638636,1646,189.59903402,924,16.969134199,2012
"GLUMETZA","METFORMIN HCL",31518,15267622.69,8107,1883.2641779,2490710,6.4199010531,5232,344.18195336,2875,21.147095652,2012
"GRALISE","GABAPENTIN",14728,2554800.85,5621,454.51002491,1112945.078,2.2944546929,2255,170.21298448,3366,9.0334937611,2012
"HEALTHY ACCENTS UNIFINE PENTIP","PEN NEEDLE, DIABETIC",783,21083.76,566,37.250459364,96791,0.2178481473,270,24.343851852,296,3.2457432432,2012
"HYCET","HYDROCODONE/ACETAMINOPHEN",121,33834.43,62,545.7166129,88371,0.3828680223,18,109.73888889,44,1.7793181818,2012
"HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE",17097814,98051910.15,3513806,27.904759156,848627088.57,0.1155285048,2309475,18.452010188,1204331,6.1058277251,2012
"HYDROCODONE-ACETAMINOPHEN","HYDROCODONE/ACETAMINOPHEN",32936482,462066211.61,7463193,61.912670838,2514761722.3,0.1821015664,4129598,23.858341931,3333595,7.2202275861,2012
"HYZAAR","LOSARTAN/HYDROCHLOROTHIAZIDE",25141,3898747.09,5161,755.42474133,1156231,3.4059420823,3446,327.07934417,1715,22.353539359,2012
"IBUPROFEN","IBUPROFEN",4740270,29465688.87,1934964,15.228029498,352225884.21,0.0845678539,752348,8.871734676,1182616,2.7709359166,2012
"IMDUR","ISOSORBIDE MONONITRATE",4948,704134.49,1484,474.48415768,262668,2.6839928781,823,205.31383961,661,6.6891376702,2012
"INCONTROL PEN NEEDLE","PEN NEEDLE, DIABETIC",7764,174946.64,3312,52.82205314,932885,0.1875587033,1002,33.129241517,2310,7.2655844156,2012
"INSULIN PEN NEEDLE","PEN NEEDLE, DIABETIC",235,5383.48,124,43.41516129,28863,0.1866308587,57,26.158596491,67,3.1298507463,2012
"INSUPEN","PEN NEEDLE, DIABETIC",6899,138870,2463,56.382460414,748378,0.1856777825,849,37.703886926,1614,5.965960347,2012
"INTERMEZZO","ZOLPIDEM TARTRATE",1769,354450.92,971,365.03699279,53482,6.6276670403,642,94.590872274,329,6.3045592705,2012
"IQUIX","LEVOFLOXACIN",396,32312.05,284,113.77482394,2014,16.043718967,180,72.828611111,104,5.5888461538,2012
"AMLODIPINE BESYLATE","AMLODIPINE BESYLATE",30513070,311387481.99,5393486,57.733992818,1458535618.5,0.2139196184,3335108,29.861123106,2058378,6.8626630191,2012
"ISOSORBIDE MONONITRATE","ISOSORBIDE MONONITRATE",234643,4901614.71,46873,104.57224223,16046623.89,0.3062005575,21473,36.34329111,25400,5.1382188976,2012
"ISOSORBIDE MONONITRATE ER","ISOSORBIDE MONONITRATE",5722534,97160210.42,990650,98.077232544,266962328.83,0.3625117172,553959,39.423847324,436691,7.0556606159,2012
"JANTOVEN","WARFARIN SODIUM",1011792,10505932.31,150640,69.741982939,37887712.66,0.2871825475,98314,33.016527555,52326,5.5378431373,2012
"KAON-CL 10","POTASSIUM CHLORIDE",233,2264.57,73,31.021506849,8577,0.264028215,24,14.422916667,49,1.9020408163,2012
"KAPVAY","CLONIDINE HCL",854,173431.23,233,744.34004292,61425,2.8236708522,69,144.84057971,164,8.6424390244,2012
"AMOX TR-POTASSIUM CLAVULANATE","AMOXICILLIN/POTASSIUM CLAV",39170,923691.65,35675,25.891847232,817051,1.1550926265,18433,7.941080128,17242,1.402665584,2012
"KEFLEX","CEPHALEXIN",2939,409292.4,2312,177.02958478,68577,5.8463265484,1623,70.423974122,689,5.2393468795,2012
"KENALOG","TRIAMCINOLONE ACETONIDE",9221,1830358.09,5322,343.9229782,709164.5,2.5810063674,3942,112.39300355,1380,8.6517101449,2012
"KENALOG-10","TRIAMCINOLONE ACETONIDE",478,12144.49,330,36.801484848,41724,0.2910672515,186,16.250483871,144,2.5076388889,2012
"KENALOG-40","TRIAMCINOLONE ACETONIDE",14731,422706.42,10939,38.64214462,528398.301,0.799976872,5754,18.86898853,5185,2.0684918033,2012
"AMOXICILLIN","AMOXICILLIN",4974076,28558253.92,3474177,8.2201493821,123999997.64,0.2476037111,2246736,5.6618197776,1227441,1.6356978869,2012
"KLONOPIN","CLONAZEPAM",2153,366128.08,510,717.89819608,196985,1.848329885,485,194.49496907,25,216.1728,2012
"KLOR-CON","POTASSIUM CHLORIDE",90550,4269388.16,30381,140.52823014,5132628.9,0.831524559,16053,30.886278577,14328,3.1115536013,2012
"KLOR-CON 10","POTASSIUM CHLORIDE",1725028,48938261.5,423082,115.6708664,126597992.89,0.3865642763,248264,35.445404972,174818,5.579117139,2012
"KLOR-CON 8","POTASSIUM CHLORIDE",479852,14377198.77,107403,133.86217117,33538750.7,0.428674249,57380,39.268763681,50023,5.4492493453,2012
"KLOR-CON M10","POTASSIUM CHLORIDE",1221071,29604108.84,303782,97.451820187,69051605.017,0.4287244132,167637,36.780303573,136145,4.5471076426,2012
"KLOR-CON M15","POTASSIUM CHLORIDE",6552,233347.9,1670,139.72928144,425083,0.5489466763,875,66.573325714,795,6.7945157233,2012
"KLOR-CON M20","POTASSIUM CHLORIDE",3069612,79884997.24,698984,114.28730449,190558878.03,0.4192142505,395798,41.572412721,303186,5.530616948,2012
"AMOXICILLIN-CLAVULANATE POT ER","AMOXICILLIN/POTASSIUM CLAV",31134,3101784.44,25264,122.77487492,962576,3.222378742,16482,38.665210533,8782,2.5822739695,2012
"K-TAB ER","POTASSIUM CHLORIDE",219234,7058348.48,73848,95.579412848,33117601,0.2131298242,64320,44.770012593,9528,6.313638749,2012
"AMOXICILLIN-CLAVULANATE POTASS","AMOXICILLIN/POTASSIUM CLAV",2717453,66687960.43,2064114,32.308273879,59534536.868,1.2024041963,1221382,10.602132519,842732,1.7217765553,2012
"LANOXIN","DIGOXIN",251218,3641965.14,44121,82.544936425,10354400,0.3519884392,30844,68.456701465,13277,12.952411689,2012
"LANTUS/LANTUS SOLOSTAR","INSULIN GLARGINE,HUM.REC.ANLOG",7773632,1945151504.3,1419266,1370.5334337,145826030.07,13.287366437,640502,318.58742564,778764,22.110585222,2012
"LASIX","FUROSEMIDE",35772,1085447.38,9531,113.88599098,2245837.5,0.4802183789,6744,76.272402135,2787,12.917972731,2012
"LATANOPROST","LATANOPROST",4691884,85913157.39,907276,94.693519271,15329245.013,5.6045263362,643186,41.478437171,264090,6.0743819153,2012
"LEVAQUIN","LEVOFLOXACIN",19273,3603086.21,14797,243.50112928,398401.805,18.298641894,6723,80.723736427,8074,4.1520745603,2012
"LEVOFLOXACIN","LEVOFLOXACIN",3385598,77397928.68,2394515,32.323008492,29467720.468,2.7821658343,1343124,11.471608005,1051391,1.6456433049,2012
"LEVOTHROID","LEVOTHYROXINE SODIUM",574364,13834697.61,215560,64.180263546,42269225.351,0.3273102151,181084,35.785643734,34476,5.8774089221,2012
"LEVOTHYROXINE SODIUM","LEVOTHYROXINE SODIUM",30274412,286993262.35,4917822,58.357797893,1446151381.7,0.2000884466,3215523,34.782240115,1702299,7.3549404012,2012
"LEVOXYL","LEVOTHYROXINE SODIUM",1285014,24021462.74,347644,69.097878117,71267415.722,0.3364346264,298370,31.394273586,49274,7.5488969842,2012
"AMRIX","CYCLOBENZAPRINE HCL",4376,2556393.44,1285,1989.4112374,173775,14.709894858,517,221.99578337,768,12.401679688,2012
"LEXAPRO","ESCITALOPRAM OXALATE",1424221,214975348,567703,378.67573009,53297495.166,4.0964962225,240412,169.99811016,327291,9.9540954686,2012
"LIPITOR","ATORVASTATIN CALCIUM",3417152,721039023.95,1135169,635.18209531,160168178.25,4.5835149544,669160,123.1500285,466009,6.8993809132,2012
"LISINOPRIL","LISINOPRIL",34013199,292697344.06,6276977,46.630303737,1829873872.4,0.1598614421,3879007,25.884663946,2397970,6.7168469205,2012
"LISINOPRIL-HCTZ","LISINOPRIL/HYDROCHLOROTHIAZIDE",65,617.58,26,23.753076923,2434,0.2568105277,,,,,2012
"LISINOPRIL-HYDROCHLOROTHIAZIDE","LISINOPRIL/HYDROCHLOROTHIAZIDE",6987825,76904486.72,1415674,54.323584893,415039721.21,0.1862935218,956519,31.840663061,459155,8.1843894545,2012
"LITE TOUCH","PEN NEEDLE, DIABETIC",779,14444.23,312,46.295608974,82810,0.1744239234,123,30.588861789,189,5.18,2012
"LOPRESSOR","METOPROLOL TARTRATE",11008,1629022.65,2571,633.61441074,720835.5,2.256290214,1961,286.34494136,610,25.526311475,2012
"LORAZEPAM","LORAZEPAM",915294,11494846.92,212244,54.158642506,55302343.22,0.2085727212,176603,23.623989457,35641,15.538516877,2012
"LORAZEPAM INTENSOL","LORAZEPAM",1401,60643.91,1046,57.976969407,48067.75,1.2616340478,676,16.749556213,370,9.143972973,2012
"LORCET 10-650","HYDROCODONE/ACETAMINOPHEN",2000,339679.59,431,788.11969838,216555,1.5685603657,152,329.42013158,279,9.2205734767,2012
"LORCET PLUS","HYDROCODONE/ACETAMINOPHEN",811,80317.54,195,411.88482051,73496,1.0928151192,97,221.92412371,98,12.683673469,2012
"LORTAB","HYDROCODONE/ACETAMINOPHEN",14260,2456628.9,3987,616.15974417,1501867.111,1.7020158424,1426,259.97813464,2561,9.8919875049,2012
"LOSARTAN POTASSIUM","LOSARTAN POTASSIUM",12078876,274542390.4,2299648,119.38452772,614752794.57,0.4491149245,1615702,40.753454214,683946,7.1696642279,2012
"LOSARTAN-HYDROCHLOROTHIAZIDE","LOSARTAN/HYDROCHLOROTHIAZIDE",4484950,120510276.89,831647,144.90556317,217103151.32,0.5554501139,616120,42.706128108,215527,8.6438539023,2012
"LOVASTATIN","LOVASTATIN",6714014,111136726.86,1271000,87.440383053,391535056.26,0.282068254,888797,40.025241129,382203,7.7816871401,2012
"ACETAMINOPHEN-CODEINE","ACETAMINOPHEN WITH CODEINE",2698378,35121853.47,1171519,29.979755744,165167483.89,0.2202911303,609034,13.718334871,562485,2.9309193312,2012
"MACROBID","NITROFURANTOIN MONOHYD/M-CRYST",1232,121771.55,765,159.17849673,34317.9,3.5483392049,507,67.322307692,258,4.2962790698,2012
"MAGNACET","OXYCODONE HCL/ACETAMINOPHEN",105,46442.02,38,1222.1584211,8109,5.7692969535,,,,,2012
"MATZIM LA","DILTIAZEM HCL",64414,8501384.58,15317,555.0293517,3013695.29,2.8261399673,10153,157.03558062,5164,9.3110844307,2012
"MAXIDONE","HYDROCODONE/ACETAMINOPHEN",24,3155.33,11,286.84818182,1938,1.6281372549,,,,,2012
"MAXZIDE","TRIAMTERENE/HYDROCHLOROTHIAZID",3085,373441.41,712,524.49636236,141574.5,2.6377731159,571,288.33330998,141,23.646950355,2012
"MAXZIDE-25 MG","TRIAMTERENE/HYDROCHLOROTHIAZID",6323,337325.29,1518,222.21692358,288034,1.1711301096,1269,164.26268716,249,20.914658635,2012
"MECLIZINE HCL","MECLIZINE HCL",2178017,41246972.31,918009,44.930901887,128806326.05,0.3199841535,512101,13.038160011,405908,3.2396629532,2012
"MEDROL","METHYLPREDNISOLONE",5351,248523.56,2729,91.067629168,252798.75,1.1822253632,1778,54.528143982,951,5.4947528917,2012
"MELOXICAM","MELOXICAM",6563829,58042986.42,1916198,30.290703998,291541714.48,0.1989919361,1117519,14.758471274,798679,4.5016326584,2012
"MEPROLONE UNIPAK","METHYLPREDNISOLONE",30,323.99,30,10.799666667,621,0.5217230274,,,,,2012
"METFORMIN HCL","METFORMIN HCL",19994311,209929516.63,3625714,57.900186454,1919463829.1,0.1095624739,2080181,25.82039548,1545533,6.7644282134,2012
"METFORMIN HCL ER","METFORMIN HCL",3272298,64719272.02,682575,94.816352811,356075339.9,0.2036656217,450457,33.531848567,232118,6.8903894571,2012
"ANTIVERT","MECLIZINE HCL",60,3443.55,49,70.276530612,2584,1.254816696,25,20.6928,24,2.1625,2012
"METHYLPREDNISOLONE","METHYLPREDNISOLONE",2225826,56948994.03,1702589,33.448468204,58076247.795,0.9961155604,1115861,9.8190216164,586728,1.9541011337,2012
"METOPROLOL SUCCINATE","METOPROLOL SUCCINATE",14519312,625278563.06,2616047,239.01656318,744997905.53,0.8404837125,1735454,89.885881879,880593,9.3136219003,2012
"METOPROLOL TARTRATE","METOPROLOL TARTRATE",19551230,133840280.58,3548320,37.719337765,1547313523.9,0.0869486975,2160843,21.774781273,1387477,5.9476085658,2012
"METROCREAM","METRONIDAZOLE",382,149492.89,198,755.01459596,21033,7.1075400561,136,152.29338235,62,8.4069354839,2012
"METROGEL","METRONIDAZOLE",75328,17609389.04,52328,336.51943587,4743153.931,3.715811857,38756,90.339400867,13572,6.5414994106,2012
"METROGEL-VAGINAL","METRONIDAZOLE",64,2141.12,55,38.929454545,4480,0.4779285714,28,26.798571429,27,2.3888888889,2012
"METROLOTION","METRONIDAZOLE",148,66915.9,95,704.37789474,11372.59,5.8839631078,64,130.40484375,31,3.2622580645,2012
"METRONIDAZOLE","METRONIDAZOLE",1672482,61093353.34,1187860,51.431442544,55965430.839,0.9135836339,681317,11.830353521,506543,1.6915785037,2012
"MEVACOR","LOVASTATIN",164,30487.05,60,508.1175,8408,3.5341308792,41,186.58634146,19,12.573684211,2012
"MICRO-K","POTASSIUM CHLORIDE",311,15482.4,151,102.53245033,16215.2,0.9620643575,89,70.487303371,62,1.8112903226,2012
"MICROZIDE","HYDROCHLOROTHIAZIDE",666,34896.4,157,222.27006369,34530,1.0106110628,120,146.68891667,37,17.025135135,2012
"MINI ULTRA-THIN II","PEN NEEDLE, DIABETIC",269,7859.04,170,46.229647059,30580,0.256999346,93,22.795053763,77,3.2523376623,2012
"MINITRAN","NITROGLYCERIN",10937,491838.13,5746,85.596611556,440948,1.1119865687,3829,30.052447114,1917,4.2923735003,2012
"MIRTAZAPINE","MIRTAZAPINE",4783703,78423393.44,817928,95.880558484,155900216.36,0.5033434372,334721,42.638858542,483207,4.3554642006,2012
"MOBIC","MELOXICAM",4665,1392194.72,1297,1073.3960833,234372,6.1535367601,847,264.609268,450,15.597333333,2012
"MONOKET","ISOSORBIDE MONONITRATE",33,5522.12,11,502.01090909,2190,2.5752308612,,,,,2012
"MONTELUKAST SODIUM","MONTELUKAST SODIUM",2033745,125344020.15,761311,164.64233428,80946802.377,1.5484425627,352617,45.421521594,408694,2.6594799043,2012
"MORGIDOX","DOXYCYCLINE HYCLATE",45,1080.51,40,27.01275,1482,0.7290890688,25,5.6924,15,0.9506666667,2012
"MOXATAG","AMOXICILLIN",204,37836.28,167,226.5645509,2713,13.946288242,88,75.733863636,79,5.2389873418,2012
"MUPIROCIN","MUPIROCIN",1579500,29031307.71,1021466,28.421217848,44763978.284,0.6485417254,579036,9.726774501,442430,1.5223521687,2012
"NAMENDA","MEMANTINE HCL",5425470,1327416589.8,757604,1752.1245793,345816184.79,3.8510366213,384056,409.9028513,373548,22.196069421,2012
"NAPROSYN","NAPROXEN",846,134477.24,376,357.65223404,64708,2.1314696167,217,149.86677419,159,6.7202515723,2012
"NAPROXEN","NAPROXEN",3274915,29358345.96,1287869,22.796065407,216384411.69,0.1368220816,591558,11.910749867,696311,3.0991874321,2012
"NASACORT AQ","TRIAMCINOLONE ACETONIDE",11087,1559653.52,4612,338.17292281,225266.873,6.923581347,2419,140.20892104,2193,6.4187642499,2012
"NEEDLES","PEN NEEDLE, DIABETIC",5851,98795.35,3717,26.579324724,546341,0.1808309279,2265,21.414569536,1452,6.368553719,2012
"NEURONTIN","GABAPENTIN",34213,13382186.84,6690,2000.3268819,6104314.5,2.6085245699,2981,338.78521637,3709,16.915392289,2012
"NEXICLON XR","CLONIDINE HCL",31,6039.29,14,431.37785714,1477,4.0888896412,,,,,2012
"NEXIUM","ESOMEPRAZOLE MAGNESIUM",7912225,2124303796.5,1434214,1481.1623624,337755790.84,6.2898909462,567911,278.66333903,866303,23.81133077,2012
"NIRAVAM","ALPRAZOLAM",70,27813.98,18,1545.2211111,6875,3.7823501765,18,,0,,2012
"NITRO-BID","NITROGLYCERIN",30194,1073462.37,15821,67.850475318,1519253.812,0.706572109,7433,29.278350599,8388,2.2965176443,2012
"NITRO-DUR","NITROGLYCERIN",43758,5841747.04,10413,561.00518967,1747817.78,3.4351051621,5341,149.43187231,5072,12.053606073,2012
"NITROFURANTOIN MACROCRYSTAL","NITROFURANTOIN MONOHYD/M-CRYST",96,3509.55,74,47.426351351,1982,1.7707114026,29,16.132758621,45,1.5911111111,2012
"ARICEPT","DONEPEZIL HCL",233849,75128372.2,45738,1642.581053,8410093.2,8.9331122825,25263,401.65400309,20475,21.535885714,2012
"NITROFURANTOIN MONO-MACRO","NITROFURANTOIN MONOHYD/M-CRYST",1570811,69440324.64,989165,70.200951954,31168130.48,2.227927167,549294,27.473717681,439871,2.0422735302,2012
"NITROGLYCERIN","NITROGLYCERIN",46027,7839647.96,31034,252.61480827,830681.521,17.02777715,15040,45.14427992,15994,2.8413304989,2012
"NITROGLYCERIN PATCH","NITROGLYCERIN",850429,26948857.19,158862,169.63689989,30661544.25,0.8782437999,75152,46.719819166,83710,4.9709839924,2012
"NITROLINGUAL","NITROGLYCERIN",55840,14378307.48,33969,423.2773258,559138.9,25.715090615,16129,87.572284085,17840,5.7088660314,2012
"NITROMIST","NITROGLYCERIN",1943,405215.77,1355,299.05222878,13807.762,29.346954995,760,85.872302632,595,6.1661680672,2012
"NITROQUICK","NITROGLYCERIN",61,433.29,54,8.0238888889,2787,0.1554682454,,,,,2012
"NITROSTAT","NITROGLYCERIN",2017260,28579176.35,1266726,22.561450819,87284450.822,0.3317110661,745768,15.648856226,520958,5.252205053,2012
"ARICEPT ODT","DONEPEZIL HCL",608,179086.56,282,635.0587234,21800,8.2098056783,101,167.1529703,181,9.8702762431,2012
"NORCO","HYDROCODONE/ACETAMINOPHEN",10181,2561594.35,2867,893.47553191,1296269,1.9130818597,1232,206.48991883,1635,7.7366238532,2012
"NORITATE","METRONIDAZOLE",6905,1427309.63,4925,289.80906193,444603,3.2103013925,4206,101.64233714,719,8.1229902643,2012
"NORVASC","AMLODIPINE BESYLATE",68643,9302197.91,13610,683.48257972,3293509,2.8653075089,8542,315.31789979,5068,22.631929755,2012
"NOVOFINE","PEN NEEDLE, DIABETIC",197820,7704055.22,63776,120.79865812,24274742,0.3173726649,31770,63.957194208,32006,8.2597213023,2012
"NOVOFINE 32","PEN NEEDLE, DIABETIC",193148,8942888.53,70291,127.22665106,23866752,0.3747006937,38357,67.082386005,31934,8.3355035385,2012
"NOVOTWIST","PEN NEEDLE, DIABETIC",23063,930366.02,11801,78.837896788,2506133,0.3714137696,7457,46.495303741,4344,5.7842541436,2012
"NYAMYC","NYSTATIN",84811,2814252.81,46199,60.915881513,3270643.638,0.8604584056,14015,15.754587941,32184,0.9333202834,2012
"NYSTATIN","NYSTATIN",1598972,51068545.71,841693,60.673601551,204395570.22,0.4463921823,384078,14.279603544,457615,1.6186744097,2012
"NYSTOP","NYSTATIN",704442,22557964.71,329233,68.516718282,26912744.133,0.8381889486,130300,16.818008596,198933,1.4381572188,2012
"OLEPTRO ER","TRAZODONE HCL",3792,533972.49,817,653.57709914,150476,3.5989672335,243,262.83403292,574,14.517299652,2012
"OLUX","CLOBETASOL PROPIONATE",406,165761.93,237,699.41742616,39850,4.159646926,142,104.29056338,95,8.4971578947,2012
"OMEPRAZOLE","OMEPRAZOLE",29776193,592766687.75,5779947,102.55573066,1543656650.3,0.3896806508,3229305,39.881783015,2550642,6.1288455377,2012
"OMNIPRED","PREDNISOLONE ACETATE",713,58651.33,466,125.86122318,5618,10.43989498,368,74.230244565,98,5.931122449,2012
"ORALONE","TRIAMCINOLONE ACETONIDE",89,7798.21,58,134.45189655,605,12.889603306,43,10.220930233,15,1.4066666667,2012
"OXECTA","OXYCODONE HCL",34,8402.23,13,646.32538462,3040,2.7660856459,,,,,2012
"OXYBUTYNIN CHLORIDE","OXYBUTYNIN CHLORIDE",2283074,23181393.4,528832,43.835080706,186409514.63,0.1256000807,315010,22.548736548,213822,4.4056226674,2012
"OXYBUTYNIN CHLORIDE ER","OXYBUTYNIN CHLORIDE",2033164,151704615.96,415577,365.04574594,88651490.14,1.7069919619,237504,109.6613345,178073,6.7553516816,2012
"OXYCODONE CONCENTRATE","OXYCODONE HCL",139,12810.66,95,134.84905263,7356.125,1.7414956924,33,22.768181818,62,1.5158064516,2012
"OXYCODONE HCL","OXYCODONE HCL",4606067,192911825.87,872430,221.12011952,522718358.46,0.3591704515,386600,49.834701836,485830,8.891509458,2012
"OXYCODONE HCL-ACETAMINOPHEN","OXYCODONE HCL/ACETAMINOPHEN",108,4428.19,56,79.074821429,8970,0.4944466825,18,14.487222222,38,2.9602631579,2012
"OXYCODONE-ACETAMINOPHEN","OXYCODONE HCL/ACETAMINOPHEN",7504090,199482217.17,2275742,87.655901754,589916326.5,0.3002058117,1198054,24.317975033,1077688,5.4607719489,2012
"OXYCONTIN","OXYCODONE HCL",1815286,903604200.09,276671,3265.9881234,128491117.91,6.4537318266,115895,401.46339437,160776,34.459129659,2012
"ATENOLOL","ATENOLOL",13701838,102422908.86,2504678,40.892645226,837515089.68,0.122420262,1754689,24.129808918,749989,7.1708340656,2012
"PANTOPRAZOLE SODIUM","PANTOPRAZOLE SODIUM",7108902,152858936.94,1582884,96.569892007,321140442.49,0.475965211,934637,41.136391027,648247,5.483509002,2012
"PEDI-DRI","NYSTATIN",1895,108744.92,703,154.68694168,120638.3,0.9014129012,121,20.817438017,582,1.2607216495,2012
"ATIVAN","LORAZEPAM",3471,1370562.18,781,1754.8811524,331790,4.1584440209,758,269.21963061,23,322.50304348,2012
"PEN NEEDLE","PEN NEEDLE, DIABETIC",112778,2141280.69,47547,45.035032494,11678180,0.1833168285,25641,31.843003783,21906,7.2134360449,2012
"ATORVASTATIN CALCIUM","ATORVASTATIN CALCIUM",16152979,1347833771.8,3655965,368.66703367,734295512.46,1.8351813199,2447524,112.47810477,1208441,8.3279083464,2012
"PEN NEEDLES","PEN NEEDLE, DIABETIC",41862,885552.92,14485,61.135859165,4526043.132,0.1954784456,5169,37.580232153,9316,5.847761915,2012
"PENNSAID","DICLOFENAC SODIUM",78694,16436788.89,46871,350.68142113,14480374.25,1.1351080163,23746,74.200263623,23125,6.9532821622,2012
